date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1922-10-08,Argentina,Uruguay,0,1,Copa Am챕rica,Rio de Janeiro,Brazil,True
1922-10-12,Paraguay,Uruguay,1,0,Copa Am챕rica,Rio de Janeiro,Brazil,True
1922-10-15,Brazil,Argentina,2,0,Copa Am챕rica,Rio de Janeiro,Brazil,False
1922-10-18,Argentina,Paraguay,2,0,Copa Am챕rica,Rio de Janeiro,Brazil,True
1922-10-21,England,Northern Ireland,2,0,British Home Championship,West Bromwich,England,False
1922-10-22,Argentina,Chile,1,0,Friendly,Buenos Aires,Argentina,False
1922-10-22,Brazil,Argentina,2,1,Copa Roca,S찾o Paulo,Brazil,False
1922-10-29,Brazil,Paraguay,3,1,Friendly,S찾o Paulo,Brazil,False
1922-11-06,Brazil,Paraguay,3,0,Copa Am챕rica,Rio de Janeiro,Brazil,False
1922-11-12,Uruguay,Argentina,1,0,Copa Lipton,Montevideo,Uruguay,False
1922-11-19,Switzerland,Netherlands,5,0,Friendly,Bern,Switzerland,False
1922-11-19,Galicia,Central Spain,4,1,Friendly,Vigo,Spain,False
1922-11-26,Hungary,Austria,1,2,Friendly,Budapest,Hungary,False
1922-12-03,Italy,Switzerland,2,2,Friendly,Bologna,Italy,False
1922-12-10,Uruguay,Argentina,1,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
1922-12-17,Argentina,Uruguay,2,2,Copa Newton,Buenos Aires,Argentina,False
1922-12-17,Portugal,Spain,1,2,Friendly,Lisbon,Portugal,False
1923-01-01,Guatemala,Mexico,2,3,Friendly,Guatemala City,Guatemala,False
1923-01-01,Italy,Germany,3,1,Friendly,Milan,Italy,False
1923-01-04,Guatemala,Mexico,3,1,Friendly,Guatemala City,Guatemala,False
1923-01-07,Guatemala,Mexico,1,4,Friendly,Guatemala City,Guatemala,False
1923-01-14,Andalusia,Galicia,1,4,Friendly,Seville,Spain,False
1923-01-21,Switzerland,Austria,2,0,Friendly,Geneva,Switzerland,False
1923-01-28,Spain,France,3,0,Friendly,San Sebasti찼n,Spain,False
1923-02-04,Belgium,Spain,1,0,Friendly,Antwerp,Belgium,False
1923-02-11,Luxembourg,Brittany,1,4,Friendly,Esch-sur-Alzette,Luxembourg,False
1923-02-25,Belgium,France,4,1,Friendly,Forest,Belgium,False
1923-02-25,Galicia,Asturias,1,3,Friendly,Vigo,Spain,False
1923-03-03,Northern Ireland,Scotland,0,1,British Home Championship,Belfast,Northern Ireland,False
1923-03-04,Italy,Hungary,0,0,Friendly,Genoa,Italy,False
1923-03-05,Wales,England,2,2,British Home Championship,Cardiff,Wales,False
1923-03-11,Switzerland,Hungary,1,6,Friendly,Lausanne,Switzerland,False
1923-03-17,Scotland,Wales,2,0,British Home Championship,Paisley,Scotland,False
1923-03-19,England,Belgium,6,1,Friendly,London,England,False
1923-04-02,Netherlands,France,8,1,Friendly,Amsterdam,Netherlands,False
1923-04-02,Guernsey,Alderney,2,1,Peace Cup,Guernsey,Guernsey,False
1923-04-12,Jersey,Guernsey,0,1,Muratti Vase,Jersey,Jersey,False
1923-04-14,Scotland,England,2,2,British Home Championship,Glasgow,Scotland,False
1923-04-14,Wales,Northern Ireland,0,3,British Home Championship,Wrexham,Wales,False
1923-04-15,Austria,Italy,0,0,Friendly,Vienna,Austria,False
1923-04-22,France,Switzerland,2,2,Friendly,Vincennes,France,False
1923-04-26,Guernsey,Alderney,3,2,Muratti Vase,Guernsey,Guernsey,False
1923-04-29,Netherlands,Belgium,1,1,Friendly,Amsterdam,Netherlands,False
1923-05-06,Austria,Hungary,1,0,Friendly,Vienna,Austria,False
1923-05-06,Czechoslovakia,Denmark,2,0,Friendly,Prague,Czechoslovakia,False
1923-05-10,France,England,1,4,Friendly,Vincennes,France,False
1923-05-10,Germany,Netherlands,0,0,Friendly,Hamburg,Germany,False
1923-05-20,Argentina,Paraguay,0,2,Copa Chevallier Boutell,Buenos Aires,Argentina,False
1923-05-21,Sweden,England,2,4,Friendly,Stockholm,Sweden,False
1923-05-22,China,Philippines,3,0,Far Eastern Championship Games,Osaka,Japan,True
1923-05-23,Japan,Philippines,1,2,Far Eastern Championship Games,Osaka,Japan,False
1923-05-24,Sweden,England,1,3,Friendly,Solna,Sweden,False
1923-05-24,Japan,China,1,5,Far Eastern Championship Games,Osaka,Japan,False
1923-05-25,Argentina,Paraguay,1,0,Copa Chevallier Boutell,Buenos Aires,Argentina,False
1923-05-27,Czechoslovakia,Italy,5,1,Friendly,Prague,Czechoslovakia,False
1923-06-03,Poland,Yugoslavia,1,2,Friendly,Krak처w,Poland,False
1923-06-03,Switzerland,Germany,1,2,Friendly,Basel,Switzerland,False
1923-06-09,Australia,New Zealand,2,1,Soccer Ashes,Brisbane,Australia,False
1923-06-10,Romania,Yugoslavia,1,2,Friendly,Bucharest,Romania,False
1923-06-10,Sweden,Austria,4,2,Friendly,Gothenburg,Sweden,False
1923-06-16,Australia,New Zealand,2,3,Soccer Ashes,Sydney,Australia,False
1923-06-17,Denmark,Switzerland,3,2,Friendly,Copenhagen,Denmark,False
1923-06-17,Norway,Finland,3,0,Friendly,Kristiania,Norway,False
1923-06-20,Sweden,Finland,5,4,Friendly,G채vle,Sweden,False
1923-06-21,Norway,Switzerland,2,2,Friendly,Kristiania,Norway,False
1923-06-24,Argentina,Uruguay,0,0,Copa Lipton,Buenos Aires,Argentina,False
1923-06-24,Lithuania,Estonia,0,5,Friendly,Kaunas,Lithuania,False
1923-06-29,Sweden,Germany,2,1,Friendly,Stockholm,Sweden,False
1923-06-30,Australia,New Zealand,1,4,Soccer Ashes,Newcastle,Australia,False
1923-07-01,Romania,Czechoslovakia,0,6,Friendly,Cluj,Romania,False
1923-07-15,Argentina,Uruguay,2,2,Friendly,Buenos Aires,Argentina,False
1923-07-22,Uruguay,Argentina,2,2,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
1923-07-24,Estonia,Latvia,1,1,Friendly,Tallinn,Estonia,False
1923-08-12,Germany,Finland,1,2,Friendly,Dresden,Germany,False
1923-08-15,Austria,Finland,2,1,Friendly,Vienna,Austria,False
1923-08-19,Hungary,Finland,3,1,Friendly,Budapest,Hungary,False
1923-08-27,Suriname,Guyana,2,1,Friendly,Paramaribo,Dutch Guyana,False
1923-09-02,Poland,Romania,1,1,Friendly,Lw처w,Poland,False
1923-09-16,Norway,Sweden,2,3,Friendly,Kristiania,Norway,False
1923-09-18,Estonia,Russia,2,4,Friendly,Tallinn,Estonia,False
1923-09-23,Finland,Poland,5,3,Friendly,Helsinki,Finland,False
1923-09-23,Hungary,Austria,2,0,Friendly,Budapest,Hungary,False
1923-09-25,Estonia,Poland,1,4,Friendly,Tallinn,Estonia,False
1923-09-30,Denmark,Norway,2,1,Friendly,Copenhagen,Denmark,False
1923-09-30,Estonia,Finland,2,1,Friendly,Tallinn,Estonia,False
1923-09-30,Uruguay,Argentina,0,2,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
1923-10-14,Sweden,Denmark,1,3,Friendly,Stockholm,Sweden,False
1923-10-20,Northern Ireland,England,2,1,British Home Championship,Belfast,Northern Ireland,False
1923-10-26,Turkey,Romania,2,2,Friendly,Istanbul,Turkey,False
1923-10-28,Czechoslovakia,Yugoslavia,4,4,Friendly,Prague,Czechoslovakia,False
1923-10-28,France,Norway,0,2,Friendly,Paris,France,False
1923-10-28,Hungary,Sweden,2,1,Friendly,Budapest,Hungary,False
1923-10-29,Argentina,Paraguay,4,3,Copa Am챕rica,Montevideo,Uruguay,True
1923-11-01,Belgium,England,2,2,Friendly,Antwerp,Belgium,False
1923-11-01,Poland,Sweden,2,2,Friendly,Krak처w,Poland,False
1923-11-01,Brittany,Norway,1,5,Friendly,Rennes,France,False
1923-11-04,Germany,Norway,1,0,Friendly,Hamburg,Germany,False
1923-11-04,Uruguay,Paraguay,2,0,Copa Am챕rica,Montevideo,Uruguay,False
1923-11-11,Brazil,Paraguay,0,1,Copa Am챕rica,Montevideo,Uruguay,True
1923-11-18,Argentina,Brazil,2,1,Copa Am챕rica,Montevideo,Uruguay,True
1923-11-22,Brazil,Paraguay,2,0,Friendly,Montevideo,Uruguay,True
1923-11-25,Netherlands,Switzerland,4,1,Friendly,Amsterdam,Netherlands,False
1923-11-25,Uruguay,Brazil,2,1,Copa Am챕rica,Montevideo,Uruguay,False
1923-11-25,Central Spain,Galicia,1,0,Friendly,Madrid,Spain,False
1923-12-02,Argentina,Brazil,0,2,Friendly,Buenos Aires,Argentina,False
1923-12-02,Uruguay,Argentina,2,0,Copa Am챕rica,Montevideo,Uruguay,False
1923-12-09,Argentina,Brazil,2,0,Copa Roca,Buenos Aires,Argentina,False
1923-12-09,Mexico,Guatemala,2,1,Friendly,Mexico City,Mexico,False
1923-12-12,Mexico,Guatemala,2,0,Friendly,Mexico City,Mexico,False
1923-12-16,Mexico,Guatemala,3,3,Friendly,Mexico City,Mexico,False
1923-12-16,Spain,Portugal,3,0,Friendly,Seville,Spain,False
1924-01-13,France,Belgium,2,0,Friendly,Montrouge,France,False
1924-01-13,Germany,Austria,4,3,Friendly,Nuremberg,Germany,False
1924-01-20,Italy,Austria,0,4,Friendly,Genoa,Italy,False
1924-02-10,Yugoslavia,Austria,1,4,Friendly,Zagreb,Yugoslavia,False
1924-02-16,Wales,Scotland,2,0,British Home Championship,Cardiff,Wales,False
1924-03-01,Scotland,Northern Ireland,2,0,British Home Championship,Glasgow,Scotland,False
1924-03-03,England,Wales,1,2,British Home Championship,Blackburn,England,False
1924-03-09,Italy,Spain,0,0,Friendly,Milan,Italy,False
1924-03-13,Catalonia,Spain,0,7,Friendly,Barcelona,Spain,False
1924-03-15,Northern Ireland,Wales,0,1,British Home Championship,Belfast,Northern Ireland,False
1924-03-23,Netherlands,Belgium,1,1,Friendly,Amsterdam,Netherlands,False
1924-03-23,Switzerland,France,3,0,Friendly,Geneva,Switzerland,False
1924-03-23,Brittany,Luxembourg,1,1,Friendly,Rennes,France,False
1924-04-06,Aruba,Cura챌ao,0,4,Friendly,Oranjestad,Aruba,False
1924-04-06,Hungary,Italy,7,1,Friendly,Budapest,Hungary,False
1924-04-10,Jersey,Alderney,1,0,Muratti Vase,Guernsey,Guernsey,True
1924-04-12,England,Scotland,1,1,British Home Championship,London,England,False
1924-04-21,Netherlands,Germany,0,1,Friendly,Amsterdam,Netherlands,False
1924-04-21,Switzerland,Denmark,2,0,Friendly,Basel,Switzerland,False
1924-04-21,Guernsey,Alderney,1,2,Peace Cup,Guernsey,Guernsey,False
1924-04-27,Belgium,Netherlands,1,1,Friendly,Antwerp,Belgium,False
1924-05-01,Jersey,Guernsey,1,0,Muratti Vase,Jersey,Jersey,False
1924-05-04,Hungary,Austria,2,2,Friendly,Budapest,Hungary,False
1924-05-15,Paraguay,Argentina,1,3,Copa Chevallier Boutell,Asunci처n,Paraguay,False
1924-05-17,France,England,1,3,Friendly,Vincennes,France,False
1924-05-18,Paraguay,Argentina,2,1,Copa Chevallier Boutell,Asunci처n,Paraguay,False
1924-05-18,Sweden,Poland,5,1,Friendly,Stockholm,Sweden,False
1924-05-18,Switzerland,Hungary,4,2,Friendly,Z체rich,Switzerland,False
1924-05-20,Austria,Romania,4,1,Friendly,Vienna,Austria,False
1924-05-21,Austria,Bulgaria,6,0,Friendly,Vienna,Austria,False
1924-05-25,Argentina,Uruguay,4,0,Copa Newton,Buenos Aires,Argentina,False
1924-05-25,Uruguay,Argentina,2,0,Copa Lipton,Montevideo,Uruguay,False
1924-05-25,Italy,Spain,1,0,Olympic Games,Colombes,France,True
1924-05-25,Czechoslovakia,Turkey,5,2,Olympic Games,Paris,France,True
1924-05-25,Switzerland,Lithuania,9,0,Olympic Games,Vincennes,France,True
1924-05-25,United States,Estonia,1,0,Olympic Games,Vincennes,France,True
1924-05-26,Uruguay,Yugoslavia,7,0,Olympic Games,Colombes,France,True
1924-05-26,Hungary,Poland,5,0,Olympic Games,Paris,France,True
1924-05-27,Egypt,Lithuania,10,0,Friendly,Vincennes,France,True
1924-05-27,France,Latvia,7,0,Olympic Games,Paris,France,False
1924-05-27,Netherlands,Romania,6,0,Olympic Games,Colombes,France,True
1924-05-28,Switzerland,Czechoslovakia,1,1,Olympic Games,Paris,France,True
1924-05-28,Republic of Ireland,Bulgaria,1,0,Olympic Games,Colombes,France,True
1924-05-29,Italy,Luxembourg,2,0,Olympic Games,Paris,France,True
1924-05-29,Sweden,Belgium,8,1,Olympic Games,Colombes,France,True
1924-05-29,Egypt,Hungary,3,0,Olympic Games,Paris,France,True
1924-05-29,Uruguay,United States,3,0,Olympic Games,Paris,France,True
1924-05-30,Switzerland,Czechoslovakia,1,0,Olympic Games,Paris,France,True
1924-06-01,France,Uruguay,1,5,Olympic Games,Colombes,France,False
1924-06-01,Sweden,Egypt,5,0,Olympic Games,Paris,France,True
1924-06-02,Switzerland,Italy,2,1,Olympic Games,Paris,France,True
1924-06-02,Netherlands,Republic of Ireland,2,1,Olympic Games,Paris,France,True
1924-06-04,France,Hungary,0,1,Friendly,Le Havre,France,False
1924-06-05,Switzerland,Sweden,2,1,Olympic Games,Colombes,France,True
1924-06-06,Uruguay,Netherlands,2,1,Olympic Games,Colombes,France,True
1924-06-07,Australia,Canada,3,2,Friendly,Brisbane,Australia,False
1924-06-08,Sweden,Netherlands,1,1,Olympic Games,Colombes,France,True
1924-06-09,Sweden,Netherlands,3,1,Olympic Games,Colombes,France,True
1924-06-09,Uruguay,Switzerland,3,0,Olympic Games,Colombes,France,True
1924-06-10,Poland,United States,2,3,Friendly,Warsaw,Poland,False
1924-06-14,Australia,Canada,0,1,Friendly,Sydney,Australia,False
1924-06-15,Denmark,Sweden,2,3,Nordic Championship,Copenhagen,Denmark,False
1924-06-15,Norway,Germany,0,2,Friendly,Kristiania,Norway,False
1924-06-15,Catalonia,Basque Country,1,2,Friendly,Barcelona,Spain,False
1924-06-17,Finland,Turkey,2,4,Friendly,Helsinki,Finland,False
1924-06-19,Estonia,Turkey,1,4,Friendly,Tallinn,Estonia,False
1924-06-22,Austria,Egypt,3,1,Friendly,Vienna,Austria,False
1924-06-22,Latvia,Turkey,1,3,Friendly,Riga,Latvia,False
1924-06-23,Australia,Canada,4,1,Friendly,Sydney,Australia,False
1924-06-28,Australia,Canada,0,0,Friendly,Newcastle,Australia,False
1924-06-29,Poland,Turkey,2,0,Friendly,흟처d탄,Poland,False
1924-06-29,Sweden,Egypt,5,0,Friendly,Stockholm,Sweden,False
1924-07-12,Australia,Canada,1,4,Friendly,Adelaide,Australia,False
1924-07-25,Sweden,Estonia,5,2,Friendly,Stockholm,Sweden,False
1924-07-26,Australia,Canada,1,0,Friendly,Sydney,Australia,False
1924-07-28,Finland,Sweden,5,7,Friendly,Helsinki,Finland,False
1924-08-10,Poland,Finland,1,0,Friendly,Warsaw,Poland,False
1924-08-14,Latvia,Finland,0,2,Friendly,Riga,Latvia,False
1924-08-23,Finland,Norway,2,0,Friendly,Helsinki,Finland,False
1924-08-24,Estonia,Lithuania,1,2,Friendly,Tallinn,Estonia,False
1924-08-31,Czechoslovakia,Romania,4,1,Friendly,Prague,Czechoslovakia,False
1924-08-31,Germany,Sweden,1,4,Friendly,Berlin,Germany,False
1924-08-31,Hungary,Poland,4,0,Friendly,Budapest,Hungary,False
1924-09-14,Austria,Hungary,2,1,Friendly,Vienna,Austria,False
1924-09-14,Finland,Estonia,4,0,Friendly,Helsinki,Finland,False
1924-09-14,Norway,Denmark,1,3,Nordic Championship,Kristiania,Norway,False
1924-09-21,Hungary,Germany,4,1,Friendly,Budapest,Hungary,False
1924-09-21,Sweden,Norway,6,1,Nordic Championship,Solna,Sweden,False
1924-09-21,Uruguay,Argentina,1,1,Friendly,Montevideo,Uruguay,False
1924-09-24,Northern Ireland,South Africa,1,2,Friendly,Belfast,Northern Ireland,False
1924-09-28,Yugoslavia,Czechoslovakia,0,2,Friendly,Zagreb,Yugoslavia,False
1924-10-02,Argentina,Uruguay,2,1,Friendly,Buenos Aires,Argentina,False
1924-10-05,Denmark,Belgium,2,1,Friendly,Copenhagen,Denmark,False
1924-10-12,Argentina,Paraguay,0,0,Copa Am챕rica,Montevideo,Uruguay,True
1924-10-18,Latvia,Estonia,2,0,Friendly,Riga,Latvia,False
1924-10-19,Uruguay,Chile,5,0,Copa Am챕rica,Montevideo,Uruguay,False
1924-10-22,England,Northern Ireland,3,1,British Home Championship,Liverpool,England,False
1924-10-25,Argentina,Chile,2,0,Copa Am챕rica,Montevideo,Uruguay,True
1924-10-26,Uruguay,Paraguay,3,1,Copa Am챕rica,Montevideo,Uruguay,False
1924-11-01,Chile,Paraguay,1,3,Copa Am챕rica,Montevideo,Uruguay,True
1924-11-02,Netherlands,South Africa,2,1,Friendly,Amsterdam,Netherlands,False
1924-11-02,Uruguay,Argentina,0,0,Copa Am챕rica,Montevideo,Uruguay,False
1924-11-09,Austria,Sweden,1,1,Friendly,Vienna,Austria,False
1924-11-11,Belgium,France,3,0,Friendly,Brussels,Belgium,False
1924-11-16,Italy,Sweden,2,2,Friendly,Milan,Italy,False
1924-11-16,Russia,Turkey,3,0,Friendly,Moscow,Soviet Union,False
1924-11-23,Germany,Italy,0,1,Friendly,Duisburg,Germany,False
1924-12-08,England,Belgium,4,0,Friendly,West Bromwich,England,False
1924-12-14,Germany,Switzerland,1,1,Friendly,Stuttgart,Germany,False
1924-12-21,Spain,Austria,2,1,Friendly,Barcelona,Spain,False
1925-02-14,Scotland,Wales,3,1,British Home Championship,Edinburgh,Scotland,False
1925-02-22,Luxembourg,Brittany,1,1,Friendly,Luxembourg,Luxembourg,False
1925-02-28,Northern Ireland,Scotland,0,3,British Home Championship,Belfast,Northern Ireland,False
1925-02-28,Wales,England,1,2,British Home Championship,Swansea,Wales,False
1925-03-12,Guernsey,Alderney,3,0,Peace Cup,Guernsey,Guernsey,False
1925-03-15,Belgium,Netherlands,0,1,Friendly,Antwerp,Belgium,False
1925-03-22,Austria,Switzerland,2,0,Friendly,Vienna,Austria,False
1925-03-22,Haiti,Jamaica,1,2,Friendly,Port-au-Prince,Haiti,False
1925-03-22,Italy,France,7,0,Friendly,Turin,Italy,False
1925-03-25,Hungary,Switzerland,5,0,Friendly,Budapest,Hungary,False
1925-03-26,Haiti,Jamaica,0,3,Friendly,Port-au-Prince,Haiti,False
1925-03-29,Haiti,Jamaica,0,1,Friendly,Port-au-Prince,Haiti,False
1925-03-29,Netherlands,Germany,2,1,Friendly,Amsterdam,Netherlands,False
1925-04-02,Guernsey,Alderney,3,0,Muratti Vase,Jersey,Jersey,True
1925-04-04,Scotland,England,2,0,British Home Championship,Glasgow,Scotland,False
1925-04-10,Turkey,Bulgaria,2,1,Friendly,Istanbul,Turkey,False
1925-04-18,Wales,Northern Ireland,0,0,British Home Championship,Wrexham,Wales,False
1925-04-19,France,Austria,0,4,Friendly,Vincennes,France,False
1925-04-19,Switzerland,Netherlands,4,1,Friendly,Z체rich,Switzerland,False
1925-04-30,Guernsey,Jersey,2,1,Muratti Vase,Guernsey,Guernsey,False
1925-05-01,Romania,Turkey,1,2,Friendly,Bucharest,Romania,False
1925-05-03,Netherlands,Belgium,5,0,Friendly,Amsterdam,Netherlands,False
1925-05-05,Austria,Hungary,3,1,Friendly,Vienna,Austria,False
1925-05-15,Turkey,Russia,1,2,Friendly,Ankara,Turkey,False
1925-05-18,Philippines,Japan,4,0,Far Eastern Championship Games,Manila,Philippines,False
1925-05-20,China,Japan,2,0,Friendly,Manila,Philippines,True
1925-05-20,Japan,China,0,2,Far Eastern Championship Games,Manila,Philippines,True
1925-05-21,France,England,2,3,Friendly,Colombes,France,False
1925-05-21,Hungary,Belgium,1,3,Friendly,Budapest,Hungary,False
1925-05-22,Philippines,China,1,5,Far Eastern Championship Games,Manila,Philippines,False
1925-05-24,Czechoslovakia,Austria,3,1,Friendly,Prague,Czechoslovakia,False
1925-05-24,Switzerland,Belgium,0,0,Friendly,Lausanne,Switzerland,False
1925-05-31,Bulgaria,Romania,2,4,Friendly,Sofia,Bulgaria,False
1925-06-01,Switzerland,Spain,0,3,Friendly,Bern,Switzerland,False
1925-06-07,Norway,Finland,1,0,Friendly,Oslo,Norway,False
1925-06-09,Sweden,Finland,4,0,Friendly,Gothenburg,Sweden,False
1925-06-14,Spain,Italy,1,0,Friendly,Valencia,Spain,False
1925-06-14,Sweden,Denmark,0,2,Nordic Championship,Stockholm,Sweden,False
1925-06-18,Portugal,Italy,1,0,Friendly,Lisbon,Portugal,False
1925-06-21,Denmark,Norway,5,1,Nordic Championship,Copenhagen,Denmark,False
1925-06-21,Sweden,Germany,1,0,Friendly,Stockholm,Sweden,False
1925-06-26,Finland,Germany,3,5,Friendly,Helsinki,Finland,False
1925-06-27,Canada,United States,1,0,Friendly,Montreal,Canada,False
1925-06-28,Lithuania,Estonia,0,1,Friendly,Kaunas,Lithuania,False
1925-07-05,Estonia,Finland,2,0,Friendly,Tallinn,Estonia,False
1925-07-05,Sweden,Austria,2,4,Friendly,Stockholm,Sweden,False
1925-07-09,Argentina,Paraguay,1,1,Copa Chevallier Boutell,Buenos Aires,Argentina,False
1925-07-10,Finland,Austria,1,2,Friendly,Helsinki,Finland,False
1925-07-12,Argentina,Paraguay,1,1,Copa Chevallier Boutell,Buenos Aires,Argentina,False
1925-07-12,Sweden,Hungary,6,2,Friendly,Stockholm,Sweden,False
1925-07-14,Uruguay,Paraguay,0,1,Friendly,Montevideo,Uruguay,False
1925-07-18,Uruguay,Paraguay,0,1,Friendly,Montevideo,Uruguay,False
1925-07-19,Poland,Hungary,0,2,Friendly,Krak처w,Poland,False
1925-08-09,Finland,Latvia,3,1,Friendly,Helsinki,Finland,False
1925-08-15,Paraguay,Uruguay,1,0,Friendly,Asunci처n,Paraguay,False
1925-08-19,Paraguay,Uruguay,0,1,Friendly,Asunci처n,Paraguay,False
1925-08-23,Norway,Sweden,3,7,Nordic Championship,Oslo,Norway,False
1925-08-23,Paraguay,Uruguay,0,0,Friendly,Asunci처n,Paraguay,False
1925-08-26,Estonia,Latvia,2,2,Friendly,Tallinn,Estonia,False
1925-08-30,Finland,Poland,2,2,Friendly,Helsinki,Finland,False
1925-09-02,Estonia,Poland,0,0,Friendly,Tallinn,Estonia,False
1925-09-20,Hungary,Austria,1,1,Friendly,Budapest,Hungary,False
1925-09-20,Latvia,Lithuania,2,2,Friendly,Riga,Latvia,False
1925-09-27,Austria,Spain,0,1,Friendly,Vienna,Austria,False
1925-09-27,Denmark,Finland,3,3,Friendly,Aarhus,Denmark,False
1925-10-02,Turkey,Poland,1,2,Friendly,Istanbul,Turkey,False
1925-10-04,Hungary,Spain,0,1,Friendly,Budapest,Hungary,False
1925-10-11,Czechoslovakia,Hungary,2,0,Friendly,Prague,Czechoslovakia,False
1925-10-24,Northern Ireland,England,0,0,British Home Championship,Belfast,Northern Ireland,False
1925-10-25,Netherlands,Denmark,4,2,Friendly,Amsterdam,Netherlands,False
1925-10-25,Switzerland,Germany,0,4,Friendly,Basel,Switzerland,False
1925-10-28,Czechoslovakia,Yugoslavia,7,0,Friendly,Prague,Czechoslovakia,False
1925-10-31,Wales,Scotland,0,3,British Home Championship,Cardiff,Wales,False
1925-11-01,Poland,Sweden,2,6,Friendly,Krak처w,Poland,False
1925-11-04,Italy,Yugoslavia,2,1,Friendly,Padua,Italy,False
1925-11-08,Hungary,Italy,1,1,Friendly,Budapest,Hungary,False
1925-11-08,Switzerland,Austria,2,0,Friendly,Bern,Switzerland,False
1925-11-08,United States,Canada,6,1,Friendly,New York,United States,False
1925-11-29,Argentina,Paraguay,2,0,Copa Am챕rica,Buenos Aires,Argentina,False
1925-12-06,Brazil,Paraguay,5,2,Copa Am챕rica,Buenos Aires,Argentina,True
1925-12-10,Guernsey,Alderney,4,1,Peace Cup,Guernsey,Guernsey,False
1925-12-13,Argentina,Brazil,4,1,Copa Am챕rica,Buenos Aires,Argentina,False
1925-12-13,Belgium,Austria,3,4,Friendly,Li챔ge,Belgium,False
1925-12-13,Catalonia,Czechoslovakia,2,1,Friendly,Barcelona,Spain,False
1925-12-17,Brazil,Paraguay,3,1,Copa Am챕rica,Buenos Aires,Argentina,True
1925-12-20,Argentina,Paraguay,3,1,Copa Am챕rica,Buenos Aires,Argentina,False
1925-12-25,Argentina,Brazil,2,2,Copa Am챕rica,Buenos Aires,Argentina,False
1926-01-17,Italy,Czechoslovakia,3,1,Friendly,Turin,Italy,False
1926-01-24,Haiti,Cura챌ao,1,1,Friendly,Port-au-Prince,Haiti,False
1926-01-31,Haiti,Cura챌ao,0,1,Friendly,Port-au-Prince,Haiti,False
1926-02-07,Haiti,Cura챌ao,2,1,Friendly,Port-au-Prince,Haiti,False
1926-02-13,Northern Ireland,Wales,3,0,British Home Championship,Belfast,Northern Ireland,False
1926-02-14,Belgium,Hungary,0,2,Friendly,Brussels,Belgium,False
1926-02-14,Haiti,Cura챌ao,2,2,Friendly,Port-au-Prince,Haiti,False
1926-02-27,Scotland,Northern Ireland,4,0,British Home Championship,Glasgow,Scotland,False
1926-03-01,England,Wales,1,3,British Home Championship,London,England,False
1926-03-03,Jamaica,Cura챌ao,2,0,Friendly,Kingston,Jamaica,False
1926-03-14,Austria,Czechoslovakia,2,0,Friendly,Vienna,Austria,False
1926-03-14,Belgium,Netherlands,1,1,Friendly,Antwerp,Belgium,False
1926-03-21,Italy,Republic of Ireland,3,0,Friendly,Turin,Italy,False
1926-03-28,Netherlands,Switzerland,5,0,Friendly,Amsterdam,Netherlands,False
1926-04-11,France,Belgium,4,3,Friendly,Vincennes,France,False
1926-04-15,Guernsey,Jersey,1,5,Muratti Vase,Guernsey,Guernsey,False
1926-04-17,England,Scotland,0,1,British Home Championship,Manchester,England,False
1926-04-18,France,Portugal,4,2,Friendly,Toulouse,France,False
1926-04-18,Germany,Netherlands,4,2,Friendly,D체sseldorf,Germany,False
1926-04-18,Switzerland,Italy,1,1,Friendly,Z체rich,Switzerland,False
1926-04-25,France,Switzerland,1,0,Friendly,Colombes,France,False
1926-04-25,Romania,Bulgaria,6,1,Friendly,Bucharest,Romania,False
1926-04-29,Jersey,Alderney,7,1,Muratti Vase,Jersey,Jersey,False
1926-05-01,Kenya,Uganda,1,1,Friendly,Nairobi,Kenya,False
1926-05-02,Hungary,Austria,0,3,Friendly,Budapest,Hungary,False
1926-05-02,Netherlands,Belgium,1,5,Friendly,Amsterdam,Netherlands,False
1926-05-03,Kenya,Uganda,2,1,Friendly,Nairobi,Kenya,False
1926-05-07,Turkey,Romania,1,3,Friendly,Istanbul,Turkey,False
1926-05-09,Italy,Switzerland,3,2,Friendly,Milan,Italy,False
1926-05-24,Belgium,England,3,5,Friendly,Antwerp,Belgium,False
1926-05-29,Argentina,Paraguay,2,1,Copa Chevallier Boutell,Buenos Aires,Argentina,False
1926-05-30,Austria,France,4,1,Friendly,Vienna,Austria,False
1926-05-30,Yugoslavia,Bulgaria,3,1,Friendly,Zagreb,Yugoslavia,False
1926-06-03,Argentina,Paraguay,2,1,Copa Chevallier Boutell,Buenos Aires,Argentina,False
1926-06-06,Finland,Norway,2,5,Friendly,Helsinki,Finland,False
1926-06-06,Hungary,Czechoslovakia,2,1,Friendly,Budapest,Hungary,False
1926-06-09,Sweden,Norway,3,2,Nordic Championship,Stockholm,Sweden,False
1926-06-13,Denmark,Netherlands,4,1,Friendly,Copenhagen,Denmark,False
1926-06-13,Estonia,Lithuania,3,1,Friendly,Tallinn,Estonia,False
1926-06-13,France,Yugoslavia,4,1,Friendly,Colombes,France,False
1926-06-13,Sweden,Czechoslovakia,2,2,Friendly,Stockholm,Sweden,False
1926-06-20,Belgium,France,2,2,Friendly,Brussels,Belgium,False
1926-06-20,Finland,Denmark,3,2,Friendly,Helsinki,Finland,False
